Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,"['also known as Stryker Orthopaedics   (""Stryker"")', 'Conformis', 'Howmedica Osteonics Corp.', 'Conformis, Inc.', 'Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party.""']","['September 30, 2019']","['September 30, 2019']","['The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties.']",[],[],"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)",9/30/19,9/30/19,,,
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"['Aucta Pharmaceuticals, Inc.', 'Eton Pharmaceuticals, Inc.', 'Aucta', 'ETON']","['June 12, 2019']","['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']","['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']",[],[],"Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)",6/12/19,9/2/19,Perpetual,,
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,"['FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company']","['November 5, 2019']","['""Effective Date"" means October 31, 2019.']","['Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").']",[],[],"ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)",11/5/19,10/31/19,10/31/21,,
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,"['B C Marketing Concepts Inc., dba Full Sail Brewing Company', ""Reed's"", ""Reed's, Inc."", 'Company']","['October 11, 2019']","['October 11, 2019']","['The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").']",[],[],"Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")",10/11/19,10/11/19,,,
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,"['CPM Medical Consultants, LLC', 'Signature Orthopaedics Pty Ltd']",['29/3/18'],[],"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]","[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]","[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]","Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",3/29/18,,3/29/19,perpetual,12 months
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,"['XXXXXXXXXXXXXXXXXXXXX', 'Distributor', 'Company', 'B & C General Warehouse Corporation LLC']",['1 August 2019'],['1 August 2019'],['This Agreement shall become effective on the date first written above and shall continue in effect for a period of Three (3) years.'],['Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.'],[],"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",8/1/19,8/1/19,8/1/22,3 years,
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,"['SUNWAI Technology', 'Distributor', 'iMine Corporation', 'JRVS']",['19th day of July 2018'],"['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']","['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']",[],[],"iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")",7/19/18,7/19/18,7/19/20,,
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,"['Erchonia Corporation', 'Distributor', 'InnerScope Hearing Technologies Inc', 'Erchonia']",[],[],"['Unless terminated earlier as provided in this agreement, this Agreement shall have an initial term of three (3) years.']",['This agreement shall automatically renew for a period of three (3) years and upon the parties mutual agreement on new minimum performance goals for the renewal period.'],[],"Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")",,,,3 years,
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,"['Distributor', 'Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties.""', 'the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")', 'Hydraspin USA, Inc.', 'WATER NOW, INC.', 'BESTEV MANAGEMENT, LLC', 'Water Now']","['12th day of November, 2019']","['12th day of November, 2019']","['The initial term of this Agreement shall commence on the Effective Date and end on the five (5) year anniversary of the Effective Date (the ""Initial Term""), unless sooner terminated pursuant to the terms hereo']","['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']","['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']","WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)",11/12/19,11/12/19,11/12/24,successive 5 year,120 days
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,"['(""NFLA"")', 'Gridiron BioNutrients™', '(""NFLA-NC"")', 'National Football League Alumni, Inc', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']","['November 7, 2017']","['November 7, 2017']",[],[],[],"National Football League Alumni - Northern California Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™ (collectively, the ""Company"")",11/7/17,11/7/17,,,
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']",['14th day of November 2017'],['14th day of November 2017'],"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']","['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']","['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']","Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",11/14/17,11/14/17,11/14/18,successive 1 year,30 days
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']","['15th day of June, 2015']","['15th day of June, 2015']","['The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']","['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",[],"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)",6/15/15,6/15/15,6/15/19,three (3) years,
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY', 'Grantor', 'Grantee']","['17th day of November, 2015']","['The effective date of the Franchise will be January 1, 2016.']","['The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.']",[],[],"TOWN OF VINTON, VIRGINIA (""Grantor""); ROANOKE GAS COMPANY (""Grantee"")",11/17/15,1/1/16,1/1/36,,
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","['20t h day of November, 2018']","['20t h day of November, 2018']","['The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the ""Term"").']",[],[],"Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")",11/20/18,11/20/18,perpetual,,
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"[""Mitchell's Web Advance, PLC"", 'Client', 'FreeCook', 'Company']","['January 11, 2018']",[],"['Terms of the project: 12 weeks from February 8, 2018 to May 3, 2018']",[],[],"FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")",1/11/18,,5/3/18,,
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,"['each individually referred to as ""Party"" and together as ""Parties"".', 'Elephant Talk Communication Holding AG', 'T-Mobile', 'T-Mobile Netherlands B.V.', 'ELEPHANT TALK']",['18/9/2008'],"['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']","['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']","['At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.', 'Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.', 'If no termination notice is provided, the Agreement will be automatically extended for consecutive *** periods until such time as *** termination notice is provided.']",[],"Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")",9/18/08,9/18/08,,,
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']",['3-14-18'],['The Effective Date of this Agreement shall be the later of the dates shown by the signatures below.'],"['This Agreement shall commence as of the Effective Date and shall continue in effect for one (I) year, unless earlier terminated as expressly provided in Sections 1.3. 10.1. or 10.2 of this Agreement (the *Initial Term"")']","['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']","['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']","VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",3/14/18,3/14/18,3/14/19,Successive 1 year,180 days
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']",[],"['This Agreement will be effective beginning on 12:01 a.m., Eastern Time, on the day after the date of last signature to these Base Terms (""Effective Date"").']","['This Agreement will remain in effect for Thirty-six (36)<omitted>months following the Hosting Service Ready Date (""Term""), unless terminated earlier in accordance with the terms herein.']",[],[],"International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")",12/2/08,12/3/08,12/3/11,,
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"['CERENCE INC.', 'SpinCo', 'Nuance', 'NUANCE COMMUNICATIONS, INC.']","['September 30, 2019']","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",[],[],[],"NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")",9/30/19,,,,
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.', 'SpinCo', 'Honeywell']","['September 27, 2018']","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",[],[],[],"HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")",9/27/18,9/27/18,,,
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,"['Investor', 'Company', 'Synchron', 'Rare Element Resources Ltd.']","['October 2, 2017']","['""Effective Date"" has the meaning of the ""Closing Date"" set forth in the Investment Agreement.']","['Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.']",[],[],"Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")",10/2/17,,,,
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,"['University', 'ArTara', 'ArTara, Inc.', 'The University of Iowa']","['November 28, 2018']","['November 28, 2018']",[],[],[],"Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")",11/28/18,11/28/18,,,
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,"['PFHOF', 'HOFV', 'Village Media Company', 'NATIONAL FOOTBALL MUSEUM, INC.', 'doing business as Pro Football Hall of Fame', 'HOF Village, LLC', 'HOF Village Media Group, LLC']",['the date of the Closing'],['the date of the Closing'],"['Unless otherwise terminated as provided herein, the term of this Agreement shall commence on the Effective Date and shall terminate on December 31, 2034 (such period, including as may be extended in accordance with the subsequent sentence, the ""Term"").']","['If either party elects not to renew the Agreement and the other party wishes to continue the Agreement, the Parties shall attempt in good faith to negotiate an amendment to the Agreement to renew the Term on such terms as may be negotiated by the Parties.', 'Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.']","['Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.']","NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")",,,12/31/34,successive 5 years,180 days / 6 months
