doc_idx,filename,category,snippet_text
1,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,Renewal Term,"['At Rogers\' option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the ""Renewal Term"").']"
1,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,Notice Period To Terminate Renewal,"[""Notwithstanding the foregoing, if, at the expiry of this Agreement following the Initial Term or the Renewal Term (if any), as applicable, Licensor and Rogers have not executed a new agreement governing the VOD distribution and exhibition of Licensed Programs and Rogers (or its permitted assigns) continues to distribute and exhibit Licensed Programs on the ROD Service following such expiry, such continued distribution and exhibition shall be governed by the terms of this Agreement in effect at the time of expiry, except that each of Licensor and Rogers shall have the right, on sixty (60) days' prior written notice, to terminate this Agreement, as so extended.""]"
2,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Parties,"['Producer', 'Fulucai Productions Ltd.', 'ConvergTV', 'CONVERGTV, INC.']"
2,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Agreement Date,"['November 15, 2012']"
2,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Effective Date,"['November 15, 2012']"
2,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Renewal Term,"['License Term Perpetual, unlimited runs x Other: 2 years Commencing: November 15, 2012']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Parties,"['PSiTech Corporation', 'Licensor', 'Licensee', 'Empirical Ventures, Inc.']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Agreement Date,"['Feb 10, 2014']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Effective Date,"['Feb 10, 2014']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Expiration Date,"['The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Renewal Term,"['Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].']"
3,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Notice Period To Terminate Renewal,"['Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].']"
4,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,Parties,"['YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited']"
4,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,Agreement Date,"['December 21, 2015']"
4,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,Effective Date,"['December 21, 2015']"
4,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,Expiration Date,"['The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b) [Term and Termination].']"
5,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Parties,"['PrimeCall', 'deltathree.com, Inc. (formerly known as Delta Three, Inc.)', 'RSL COM PrimeCall, Inc.', 'DeltaThree']"
5,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Agreement Date,"['October 1, 1999']"
5,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Effective Date,"['October 1, 1999']"
5,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Expiration Date,"['The term of this Agreement shall be effective as of the date first stated above and shall continue for a term of three (3) years, unless terminated earlier in accordance with the provisions of this Agreement (the ""Term""); provided, however, that PrimeCall may elect to terminate this Agreement, upon thirty (30) days\' written notice, at any time from and after the time that collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree\'s outstanding shares.']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Parties,"['Women.com', 'eDiets', 'WOMEN.COM NETWORKS, INC.', 'EDIETS.COM, INC.']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Agreement Date,"['May 22, 2000']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Effective Date,"['May 22, 2000']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Expiration Date,"['This Agreement will become effective as of the Effective Date and, unless sooner terminated pursuant to Sections 3.1<omitted>, shall remain effective for two (2) years from and after the Effective Date (the ""Initial Term"").']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Renewal Term,"['This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.']"
6,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Notice Period To Terminate Renewal,"['This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.']"
7,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Parties,"['d/b/a Time Life Music', 'Integrity', 'TL', 'TIME LIFE, INC.', 'INTEGRITY INCORPORATED']"
7,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Agreement Date,['10th day of January 2000']
7,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Expiration Date,"['This agreement shall commence as of date first above written, and          shall Continue through December 31, 2004 (""the Term"").']"
8,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Parties,"['Endorser', 'collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties""', 'MusclePharm Corporation', 'Lender', 'Marine MP, LLC', 'Arnold Schwarzenegger', 'Fitness', 'collectively, ""MusclePharm"" or the ""Company""', 'Fitness Publications, Inc.']"
8,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Agreement Date,"['July 26, 2013']"
8,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Effective Date,"['July 26, 2013']"
8,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Expiration Date,"['The Term shall commence on July 23, 2013 and shall expire on July 22, 2016, unless otherwise terminated earlier pursuant to Section 9 of this Agreement.', 'This Agreement shall have an Initial Term of three (3) years.']"
8,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Renewal Term,"['If this Agreement is renewed for the Second Additional Term, then the Second Additional Term shall commence on July 23, 2019 and the Agreement shall expire and terminate automatically without further notice on July 22, 2022.', 'In the event that MusclePharm shall achieve Net Sales (as defined below) of $20 million (the ""First Renewal Threshold"") in the aggregate during the Third Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""First Additional Term"") on the same terms and conditions for the Initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the First Additional Term shall be as set forth in Section 7 and Exhibit ""C"" Section (2) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the First Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 million during each Contract Year of the First Additional Term (subject to Section 12(b) of this Agreement).', 'If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019.', 'In the event that MusclePharm shall achieve Net Sales of $50 million (the ""Second Renewal Threshold"") in the aggregate during the sixth Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""Second Additional Term"") on the same terms and conditions for the initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the renewal Term shall be as set forth in Section 7 and Exhibit ""C"" Section (3) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the Second Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 in each Contract Year of the Second Additional Term (subject to Section 12(b) of this Agreement).']"
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Parties,"['Skype, Online BVI and the Company may be referred to individually as ""Party"" and collectively as ""Parties."" Skype, Online BVI, the Company, Skype Holding and Tom Holding may be referred to individually as ""party to this Agreement"" and collectively as ""parties to this Agreement.""', 'Skype', 'Tel-Online Limited', 'Online BVI', 'Skype Technologies, S.A.', 'TOM Online (BVI) Limited', 'Skype Communications, S.A.', 'Tom Holding', 'Company', 'TOM Online Inc.', 'Skype Holding']"
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Agreement Date,['22nd day of August 2005']
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Effective Date,['22nd day of August 2005']
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Expiration Date,"['The term of this Agreement shall continue for a period of five years following the initial date of execution of the Memorandum, unless terminated earlier pursuant to Section 6.2 or Section 2.8 (""Initial Term"").']"
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Renewal Term,"['This Agreement shall automatically continue following the Initial Term, for an additional period of three (3) years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement (""Extended Term"" and, with the Initial Term, ""Term"").']"
9,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Notice Period To Terminate Renewal,"['This Agreement shall automatically continue following the Initial Term, for an additional period of three (3) years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement (""Extended Term"" and, with the Initial Term, ""Term"").']"
10,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Parties,"['also known as Stryker Orthopaedics   (""Stryker"")', 'Conformis', 'Howmedica Osteonics Corp.', 'Conformis, Inc.', 'Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party.""']"
10,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Agreement Date,"['September 30, 2019']"
10,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Effective Date,"['September 30, 2019']"
10,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Expiration Date,"['The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties.']"
11,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Parties,"['Aucta Pharmaceuticals, Inc.', 'Eton Pharmaceuticals, Inc.', 'Aucta', 'ETON']"
11,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Agreement Date,"['June 12, 2019']"
11,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Effective Date,"['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']"
11,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Expiration Date,"['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']"
12,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Parties,"['FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company']"
12,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Agreement Date,"['November 5, 2019']"
12,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Effective Date,"['""Effective Date"" means October 31, 2019.']"
12,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Expiration Date,"['Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").']"
13,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Parties,"['B C Marketing Concepts Inc., dba Full Sail Brewing Company', ""Reed's"", ""Reed's, Inc."", 'Company']"
13,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Agreement Date,"['October 11, 2019']"
13,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Effective Date,"['October 11, 2019']"
13,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Expiration Date,"['The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").']"
14,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Parties,"['CPM Medical Consultants, LLC', 'Signature Orthopaedics Pty Ltd']"
14,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Agreement Date,['29/3/18']
14,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Expiration Date,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]"
14,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Renewal Term,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]"
14,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Notice Period To Terminate Renewal,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]"
15,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Parties,"['XXXXXXXXXXXXXXXXXXXXX', 'Distributor', 'Company', 'B & C General Warehouse Corporation LLC']"
15,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Agreement Date,['1 August 2019']
15,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Effective Date,['1 August 2019']
15,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Expiration Date,['This Agreement shall become effective on the date first written above and shall continue in effect for a period of Three (3) years.']
15,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Renewal Term,['Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.']
16,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,Parties,"['SUNWAI Technology', 'Distributor', 'iMine Corporation', 'JRVS']"
16,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,Agreement Date,['19th day of July 2018']
16,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,Effective Date,"['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']"
16,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,Expiration Date,"['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']"
17,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,Parties,"['Erchonia Corporation', 'Distributor', 'InnerScope Hearing Technologies Inc', 'Erchonia']"
17,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,Expiration Date,"['Unless terminated earlier as provided in this agreement, this Agreement shall have an initial term of three (3) years.']"
17,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,Renewal Term,['This agreement shall automatically renew for a period of three (3) years and upon the parties mutual agreement on new minimum performance goals for the renewal period.']
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Parties,"['Distributor', 'Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties.""', 'the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")', 'Hydraspin USA, Inc.', 'WATER NOW, INC.', 'BESTEV MANAGEMENT, LLC', 'Water Now']"
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Agreement Date,"['12th day of November, 2019']"
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Effective Date,"['12th day of November, 2019']"
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Expiration Date,"['The initial term of this Agreement shall commence on the Effective Date and end on the five (5) year anniversary of the Effective Date (the ""Initial Term""), unless sooner terminated pursuant to the terms hereo']"
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Renewal Term,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']"
18,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Notice Period To Terminate Renewal,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']"
19,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,Parties,"['(""NFLA"")', 'Gridiron BioNutrients™', '(""NFLA-NC"")', 'National Football League Alumni, Inc', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']"
19,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,Agreement Date,"['November 7, 2017']"
19,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,Effective Date,"['November 7, 2017']"
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Parties,"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']"
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Agreement Date,['14th day of November 2017']
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Effective Date,['14th day of November 2017']
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Expiration Date,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']"
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Renewal Term,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']"
20,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Notice Period To Terminate Renewal,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']"
21,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Parties,"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']"
21,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Agreement Date,"['15th day of June, 2015']"
21,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Effective Date,"['15th day of June, 2015']"
21,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Expiration Date,"['The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']"
21,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Renewal Term,"['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']"
22,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,Parties,"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY', 'Grantor', 'Grantee']"
22,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,Agreement Date,"['17th day of November, 2015']"
22,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,Effective Date,"['The effective date of the Franchise will be January 1, 2016.']"
22,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,Expiration Date,"['The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.']"
23,SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,Parties,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']"
